ID_Produksi,Tanggal,Shift,ID_Mesin,ID_Operator,ID_Material,Qty_Produksi,Qty_OK,Qty_NG,Setting_Speed_RPM,Suhu_Mesin_Celsius,Durasi_Jam
TRX-PRD-000001,2026-05-26,Shift A,MC-004,OP-016,MAT-008,2675,2614,61,1600,77.4,7.57
TRX-PRD-000002,2026-06-14,Shift C,MC-009,OP-047,MAT-003,2444,2415,29,1800,55.9,4.99
TRX-PRD-000003,2026-06-17,Shift A,MC-013,OP-042,MAT-005,2301,2267,34,1000,65.9,4.94
TRX-PRD-000004,2026-05-09,Shift A,MC-009,OP-011,MAT-007,1125,1084,41,1300,60.9,5.63
TRX-PRD-000005,2026-06-05,Shift B,MC-001,OP-027,MAT-013,2892,2451,441,800,69.6,7.06
TRX-PRD-000006,2026-05-15,Shift B,MC-006,OP-033,MAT-014,2216,2120,96,1300,76.1,5.09
TRX-PRD-000007,2026-05-29,Shift A,MC-006,OP-014,MAT-003,2687,2662,25,800,69.0,6.37
TRX-PRD-000008,2026-06-20,Shift A,MC-011,OP-012,MAT-003,705,693,12,1500,72.1,4.85
TRX-PRD-000009,2026-05-08,Shift B,MC-007,OP-034,MAT-002,2426,2088,338,800,83.2,4.21
TRX-PRD-000010,2026-05-11,Shift A,MC-002,OP-002,MAT-004,583,576,7,1200,62.8,5.89
TRX-PRD-000011,2026-04-11,Shift B,MC-004,OP-023,MAT-003,2981,2856,125,1000,82.4,4.66
TRX-PRD-000012,2026-05-06,Shift A,MC-001,OP-049,MAT-007,2124,2107,17,1300,76.7,6.76
TRX-PRD-000013,2026-06-16,Shift A,MC-012,OP-052,MAT-013,2818,2797,21,800,60.2,5.71
TRX-PRD-000014,2026-05-14,Shift A,MC-011,OP-001,MAT-014,2507,2460,47,1000,67.8,5.45
TRX-PRD-000015,2026-05-25,Shift C,MC-007,OP-044,MAT-005,2704,2675,29,1800,78.2,7.3
TRX-PRD-000016,2026-06-11,Shift A,MC-014,OP-007,MAT-008,1498,1484,14,1800,71.1,6.67
TRX-PRD-000017,2026-05-10,Shift A,MC-014,,MAT-006,1558,1531,27,1600,85.3,6.38
TRX-PRD-000018,2026-05-02,Shift B,MC-009,OP-027,MAT-007,2501,1971,530,1300,84.3,6.58
TRX-PRD-000019,2026-05-29,Shift B,MC-001,OP-011,MAT-012,1496,1262,234,1500,78.3,5.48
TRX-PRD-000020,2026-06-06,Shift B,MC-007,OP-058,MAT-008,1609,1368,241,1500,84.8,4.48
TRX-PRD-000021,2026-04-21,Shift A,MC-012,OP-058,MAT-012,2483,2414,69,1500,83.1,7.91
TRX-PRD-000022,2026-06-03,Shift B,MC-002,OP-027,MAT-003,1738,1287,451,800,88.6,4.51
TRX-PRD-000023,2026-04-02,Shift C,MC-009,OP-012,MAT-013,2510,2487,23,1000,78.6,6.3
TRX-PRD-000024,2026-05-27,Shift B,MC-006,OP-022,MAT-014,2456,1860,596,1000,90.4,5.6
